S.No#,CarTitle,CarCompany,ModelYear,Mileage(km),EngineType,Transmission,RegisteredCIty,CarColor,EngineCapacity(cc),BodyType,Price(PKR_lacs)
8667,KIA Sportage AWD 2020,KIA,2020,37500,Petrol,Automatic,Punjab,White,2000,SUV,62.5
8668,KIA Sportage FWD 2021,KIA,2021,20500,Petrol,Automatic,Punjab,White,2000,SUV,62.5
8669,KIA Sportage FWD 2021,KIA,2021,19500,Petrol,Automatic,Punjab,White,2000,SUV,62.5
8670,MG HS 1.5 Turbo 2021,MG,2021,29950,Petrol,Automatic,Islamabad,White,1500,SUV,62.5
8671,KIA Sportage AWD 2020,KIA,2020,15210,Petrol,Automatic,Islamabad,White,2000,SUV,62.55
8672,Toyota Corolla Altis Grande CVT-i 1.8 2022,Toyota,2022,7800,Petrol,Automatic,Islamabad,White,1800,Sedan,62.7
8673,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,Toyota,2022,1400,Petrol,Automatic,Islamabad,White,1800,Sedan,62.74
8674,MG HS 1.5 Turbo 2021,MG,2021,9300,Petrol,Automatic,Lahore,White,1500,SUV,62.75
8675,Honda Civic 1.5 RS Turbo 2020,Honda,2020,9900,Petrol,Automatic,Un-Registered,White,1500,Sedan,62.75
8676,KIA Sportage AWD 2020,KIA,2020,26000,Petrol,Automatic,Islamabad,White,2000,SUV,62.75
8677,KIA Sportage AWD 2020,KIA,2020,29000,Petrol,Automatic,Islamabad,White,2000,SUV,62.75
8678,KIA Sportage FWD 2022,KIA,2022,3800,Petrol,Automatic,Karachi,Black,2000,SUV,62.75
8679,Honda Vezel Hybrid RS Honda Sensing  2017,Honda,2017,36000,Petrol,Automatic,Un-Registered,Blue,1500,Crossover,62.75
8680,KIA Sportage AWD 2020,KIA,2020,36000,Petrol,Automatic,Islamabad,White,2000,SUV,62.8
8681,KIA Sportage AWD 2020,KIA,2020,27000,Petrol,Automatic,Islamabad,Black,2000,SUV,62.8
8682,KIA Sportage AWD 2020,KIA,2020,35000,Petrol,Automatic,Islamabad,White,2000,SUV,62.8
8683,Honda Vezel Hybrid RS Honda Sensing  2016,Honda,2016,35000,Petrol,Automatic,Un-Registered,White,1500,Crossover,62.9
8684,MG HS 1.5 Turbo 2021,MG,2021,11000,Petrol,Automatic,Un-Registered,White,1500,SUV,62.9
8685,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2022,Toyota,2022,5100,Petrol,Automatic,Islamabad,White,1800,Sedan,62.95
8686,KIA Sportage FWD 2021,KIA,2021,24500,Petrol,Automatic,Punjab,White,2000,SUV,62.95
8687,KIA Sportage AWD 2020,KIA,2020,25000,Petrol,Automatic,Punjab,White,2000,SUV,62.95
8688,MG HS 1.5 Turbo 2021,MG,2021,15000,Petrol,Automatic,Punjab,Black,1500,SUV,62.95
8689,KIA Sportage AWD 2020,KIA,2020,56000,Petrol,Automatic,Islamabad,Black,2000,SUV,62.95
8690,KIA Sportage FWD 2019,KIA,2019,22000,Petrol,Automatic,Islamabad,White,2000,SUV,63
8691,MG HS 1.5 Turbo 2021,MG,2021,8000,Petrol,Automatic,Islamabad,White,1500,SUV,63
8692,MG HS 1.5 Turbo 2021,MG,2021,14000,Petrol,Automatic,Islamabad,White,1500,SUV,63
8693,Honda Vezel Hybrid Z 2019,Honda,2019,31000,Hybrid,Automatic,Islamabad,Indigo,1500,Crossover,63
8694,Peugeot 2008 Allure 2022,Peugeot,2022,500,Petrol,Automatic,Un-Registered,Black,1200,Crossover,63
8695,MG HS 1.5 Turbo 2021,MG,2021,25000,Petrol,Automatic,Punjab,White,1500,SUV,63
8696,KIA Sportage FWD 2021,KIA,2021,13000,Petrol,Automatic,Sindh,Black,2000,SUV,63
8697,KIA Sportage FWD 2021,KIA,2021,12000,Petrol,Automatic,Islamabad,White,1800,SUV,63
8698,KIA Sportage FWD 2021,KIA,2021,5000,Petrol,Automatic,Un-Registered,White,2000,SUV,63
8699,MG HS 1.5 Turbo 2021,MG,2021,24600,Petrol,Automatic,Lahore,Black,1500,SUV,63
8700,Toyota C-HR S 2017,Toyota,2017,33000,Hybrid,Automatic,Un-Registered,Black,1800,Crossover,63
8701,KIA Sportage FWD 2020,KIA,2020,25000,Petrol,Automatic,Islamabad,White,2000,SUV,63
8702,MG HS 1.5 Turbo 2021,MG,2021,22000,Petrol,Automatic,Islamabad,Black,1500,SUV,63
8703,MG HS 1.5 Turbo 2021,MG,2021,13000,Petrol,Automatic,Lahore,White,1500,SUV,63
8704,MG HS 1.5 Turbo 2022,MG,2022,9900,Petrol,Automatic,Lahore,White,1500,SUV,63
8705,MG HS 1.5 Turbo 2021,MG,2021,14000,Petrol,Automatic,Un-Registered,White,1500,SUV,63
8706,KIA Sportage Alpha 2021,KIA,2021,36000,Petrol,Automatic,Karachi,White,2000,SUV,63
8707,KIA Sportage AWD 2021,KIA,2021,30000,Petrol,Automatic,Un-Registered,Black,2000,SUV,63
8708,MG HS 1.5 Turbo 2021,MG,2021,25000,Petrol,Automatic,Un-Registered,Black,1500,SUV,63
8709,Honda Civic 1.8 i-VTEC CVT 2017,Honda,2017,34500,Petrol,Automatic,Punjab,Black,1800,Sedan,63
8710,KIA Sportage AWD 2020,KIA,2020,44000,Petrol,Automatic,Islamabad,White,2000,SUV,63
8711,KIA Sportage Alpha 2022,KIA,2022,7600,Petrol,Automatic,Karachi,Silver,2000,SUV,63
8712,Toyota Corolla Altis Grande CVT-i 1.8 2022,Toyota,2022,2300,Petrol,Automatic,Punjab,Black,1800,Sedan,63
8713,KIA Sportage AWD 2020,KIA,2020,34000,Petrol,Automatic,Islamabad,Black,2000,SUV,63
8714,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,Toyota,2022,5500,Petrol,Automatic,Punjab,White,1800,Sedan,63
8715,KIA Sportage FWD 2021,KIA,2021,26800,Petrol,Automatic,Sindh,White,2000,SUV,63
8716,MG HS 1.5 Turbo 2021,MG,2021,8000,Petrol,Automatic,Punjab,Black,1500,SUV,63
8717,MG HS 1.5 Turbo 2021,MG,2021,6000,Petrol,Automatic,Un-Registered,White,1500,SUV,63
8718,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,Toyota,2022,5000,Petrol,Automatic,Islamabad,White,1800,Sedan,63
8719,Toyota Hilux Vigo Champ G 2015,Toyota,2015,33000,Diesel,Automatic,Islamabad,Black,2500,Double Cabin,63
8720,KIA Sportage FWD 2022,KIA,2022,8300,Petrol,Automatic,Islamabad,Black,2000,SUV,63
8721,MG HS 1.5 Turbo 2021,MG,2021,9500,Petrol,Automatic,Punjab,Black,1500,SUV,63
8722,Honda Civic Standard 2022,Honda,2022,500,Petrol,Automatic,Un-Registered,Black,1500,Sedan,63
8723,KIA Sportage FWD 2021,KIA,2021,26000,Petrol,Automatic,Lahore,White,2000,SUV,63
8724,Honda Vezel Hybrid Z Honda Sensing  2018,Honda,2018,60000,Petrol,Automatic,Un-Registered,White,1500,Crossover,63
8725,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2022,Toyota,2022,550,Petrol,Automatic,Islamabad,White,1800,Sedan,63
8726,Honda Civic 1.5 RS Turbo 2021,Honda,2021,19000,Petrol,Automatic,Un-Registered,White,1500,Sedan,63
8727,Honda Civic 1.8 i-VTEC CVT 2021,Honda,2021,400,Petrol,Automatic,Multan,White,1800,Sedan,63
8728,Honda Vezel Hybrid Z Honda Sensing  2017,Honda,2017,58000,Petrol,Automatic,Karachi,White,1500,Crossover,63
8729,KIA Sportage Alpha 2021,KIA,2021,45000,Petrol,Automatic,Islamabad,Grey,2000,SUV,63
8730,KIA Sportage FWD 2021,KIA,2021,12000,Petrol,Automatic,Lahore,White,2000,SUV,63
8731,MG HS 1.5 Turbo 2021,MG,2021,10000,Petrol,Automatic,Islamabad,White,1500,SUV,63
8732,MG HS 1.5 Turbo 2021,MG,2021,10120,Petrol,Automatic,Punjab,Blue,1500,SUV,63
8733,KIA Sportage AWD 2019,KIA,2019,14000,Petrol,Automatic,Karachi,White,2000,SUV,63
8734,KIA Sportage AWD 2020,KIA,2020,27000,Petrol,Automatic,Sindh,Blue,2000,SUV,63
8735,MG HS 1.5 Turbo 2021,MG,2021,7000,Petrol,Automatic,Islamabad,Black,1500,SUV,63
8736,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,Toyota,2022,4000,Petrol,Automatic,Islamabad,White,1800,Sedan,63
8737,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,Toyota,2022,792,Petrol,Automatic,Punjab,White,1800,Sedan,63
8738,MG HS 1.5 Turbo 2021,MG,2021,17000,Petrol,Automatic,Islamabad,Black,1500,SUV,63
8739,MG HS 1.5 Turbo 2021,MG,2021,10000,Petrol,Automatic,Un-Registered,Black,1500,SUV,63
8740,KIA Sportage AWD 2020,KIA,2020,24000,Petrol,Automatic,Karachi,Silver,2000,SUV,63
8741,KIA Sportage AWD 2021,KIA,2021,17000,Petrol,Automatic,Punjab,White,2000,SUV,63
8742,BMW 5 Series 530i 2008,BMW,2008,47000,Petrol,Automatic,Islamabad,Blue,3000,Sedan,63
8743,KIA Sportage AWD 2020,KIA,2020,25000,Petrol,Automatic,Sindh,Silver,2000,SUV,63
8744,KIA Sportage AWD 2021,KIA,2021,10899,Petrol,Automatic,Swatmingora,Red,2000,SUV,63
8745,MG HS 1.5 Turbo 2020,MG,2020,24300,Petrol,Automatic,Islamabad,White,1500,SUV,63
8746,KIA Sportage AWD 2020,KIA,2020,38000,Petrol,Automatic,Islamabad,White,2000,SUV,63
8747,Toyota Corolla Fielder Hybrid G  WB  2019,Toyota,2019,35000,Petrol,Automatic,Un-Registered,White,1500,Station Wagon,63
8748,KIA Sportage AWD 2020,KIA,2020,42000,Petrol,Automatic,Islamabad,White,2000,SUV,63
8749,KIA Sportage FWD 2019,KIA,2019,26700,Petrol,Automatic,Punjab,Silver,2000,SUV,63
8750,MG HS 1.5 Turbo 2021,MG,2021,24850,Petrol,Automatic,Lahore,Black,1500,SUV,63
8751,KIA Sportage AWD 2020,KIA,2020,16000,Petrol,Automatic,Islamabad,White,2000,SUV,63
8752,KIA Sportage AWD 2020,KIA,2020,43000,Petrol,Automatic,Islamabad,White,2000,SUV,63
8753,Toyota Hilux Invincible 2012,Toyota,2012,57000,Diesel,Automatic,Islamabad,White,3000,Double Cabin,63
8754,DFSK Glory 580 1.5 CVT 2021,DFSK,2021,6500,Petrol,Automatic,Islamabad,Black,1500,SUV,63
8755,MG HS 1.5 Turbo 2021,MG,2021,24000,Petrol,Automatic,Un-Registered,Black,1500,SUV,63
8756,Honda Civic 1.5 RS Turbo 2021,Honda,2021,34000,Petrol,Automatic,Islamabad,Black,1500,Sedan,63
8757,MG HS 1.5 Turbo 2021,MG,2021,16000,Petrol,Automatic,Islamabad,Black,1500,SUV,63
8758,MG HS 1.5 Turbo 2021,MG,2021,13000,Hybrid,Automatic,Punjab,Black,1500,SUV,63
8759,KIA Sportage AWD 2021,KIA,2021,29906,Petrol,Automatic,Lahore,Black,2000,SUV,63
8760,Honda Civic Oriel 1.8 i-VTEC CVT 2021,Honda,2021,51276,Petrol,Automatic,Islamabad,White,1800,Sedan,63
8761,KIA Sportage AWD 2020,KIA,2020,35000,Petrol,Automatic,Karachi,White,2000,SUV,63
8762,Honda Civic Oriel 1.8 i-VTEC CVT 2022,Honda,2022,20000,Petrol,Automatic,Islamabad,White,1800,Sedan,63
8763,MG HS 1.5 Turbo 2021,MG,2021,20000,Petrol,Automatic,Islamabad,White,1500,SUV,63
8764,DFSK Glory 580 Pro 2021,DFSK,2021,10000,Petrol,Automatic,Islamabad,Silver,1500,Crossover,63
8765,MG HS 1.5 Turbo 2021,MG,2021,34500,Petrol,Automatic,Un-Registered,Blue,1500,SUV,63
8766,Honda Vezel Hybrid Z Honda Sensing  2016,Honda,2016,5000,Petrol,Automatic,Un-Registered,Black,1500,Crossover,63
8767,KIA Sportage AWD 2020,KIA,2020,17000,Petrol,Automatic,Lahore,Black,2000,SUV,63
8768,Toyota Aqua S 2018,Toyota,2018,22000,Hybrid,Automatic,Un-Registered,Grey,1500,Hatchback,63
8769,KIA Sportage AWD 2020,KIA,2020,45000,Petrol,Automatic,Islamabad,White,2000,SUV,63
8770,MG HS 1.5 Turbo 2021,MG,2021,8000,Petrol,Automatic,Un-Registered,White,1500,SUV,63
8771,Honda Vezel Hybrid Z Honda Sensing  2019,Honda,2019,33000,Petrol,Automatic,Punjab,Black,1500,Crossover,63
8772,Hyundai Elantra GLS 2021,Hyundai,2021,6000,Petrol,Automatic,Islamabad,Silver,2000,Sedan,63
8773,Honda Vezel Hybrid RS Honda Sensing  2018,Honda,2018,48000,Petrol,Automatic,Islamabad,Black,1500,Crossover,63.2
8774,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,Toyota,2022,6400,Petrol,Automatic,Islamabad,White,1800,Sedan,63.25
8775,Peugeot 2008 Allure 2022,Peugeot,2022,800,Petrol,Automatic,Karachi,White,1200,Crossover,63.25
8776,KIA Sportage AWD 2022,KIA,2022,5500,Petrol,Automatic,Islamabad,Black,2000,SUV,63.25
8777,Honda Civic Oriel 1.8 i-VTEC CVT 2022,Honda,2022,7600,Petrol,Automatic,Islamabad,White,1800,Sedan,63.45
8778,Honda Vezel Hybrid RS Honda Sensing  2016,Honda,2016,18000,Petrol,Automatic,Punjab,Blue,1500,Crossover,63.5
8779,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,Toyota,2022,1800,Petrol,Automatic,Punjab,White,1800,Sedan,63.5
8780,KIA Sportage FWD 2021,KIA,2021,29000,Petrol,Automatic,Punjab,Silver,2000,SUV,63.5
8781,KIA Sportage AWD 2020,KIA,2020,56000,Petrol,Automatic,Islamabad,White,2000,SUV,63.5
8782,KIA Sportage AWD 2020,KIA,2020,25000,Petrol,Automatic,Punjab,Black,2000,SUV,63.5
8783,Honda Civic 1.5 RS Turbo 2021,Honda,2021,19000,Petrol,Automatic,Islamabad,White,1500,Sedan,63.5
8784,Honda Civic Turbo 1.5 VTEC CVT 2021,Honda,2021,30000,Petrol,Automatic,Islamabad,White,1500,Sedan,63.5
8785,KIA Sportage AWD 2020,KIA,2020,28000,Petrol,Automatic,Islamabad,Black,2000,SUV,63.5
8786,Honda Civic Oriel 1.8 i-VTEC CVT 2022,Honda,2022,6000,Petrol,Automatic,Islamabad,White,1800,Sedan,63.5
8787,KIA Sportage FWD 2020,KIA,2020,43000,Petrol,Automatic,Islamabad,White,2000,SUV,63.5
8788,KIA Sportage AWD 2020,KIA,2020,45000,Petrol,Automatic,Islamabad,White,2000,SUV,63.5
8789,MG HS 1.5 Turbo 2021,MG,2021,12000,Petrol,Automatic,Islamabad,White,1500,SUV,63.5
8790,MG HS 1.5 Turbo 2021,MG,2021,12000,Petrol,Automatic,Islamabad,White,1500,SUV,63.5
8791,MG HS 1.5 Turbo 2021,MG,2021,5900,Petrol,Automatic,Karachi,White,1500,SUV,63.5
8792,MG HS 1.5 Turbo 2021,MG,2021,19000,Petrol,Automatic,Punjab,White,1500,SUV,63.5
8793,Toyota Corolla Altis Grande CVT-i 1.8 2022,Toyota,2022,6500,Petrol,Automatic,Islamabad,White,1800,Sedan,63.5
8794,KIA Sportage AWD 2020,KIA,2020,29000,Petrol,Automatic,Islamabad,White,2000,SUV,63.5
8795,KIA Sportage AWD 2021,KIA,2021,21000,Petrol,Automatic,Un-Registered,White,2000,SUV,63.5
8796,MG HS 1.5 Turbo 2021,MG,2021,1100,Petrol,Automatic,Un-Registered,White,1500,SUV,63.5
8797,Honda Vezel X Honda Sensing 2017,Honda,2017,25000,Petrol,Automatic,Un-Registered,Silver,1500,Crossover,63.5
8798,MG HS 1.5 Turbo 2021,MG,2021,15850,Petrol,Automatic,Islamabad,Black,1500,SUV,63.5
8799,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2022,Toyota,2022,11400,Petrol,Automatic,Islamabad,White,1800,Sedan,63.5
8800,MG HS 1.5 Turbo 2021,MG,2021,15000,Petrol,Automatic,Islamabad,Black,1500,SUV,63.5
8801,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,Toyota,2022,4000,Petrol,Automatic,Islamabad,White,1800,Sedan,63.5
8802,MG HS 1.5 Turbo 2022,MG,2022,1500,Petrol,Automatic,Un-Registered,White,1500,SUV,63.5
8803,MG HS 1.5 Turbo 2021,MG,2021,9000,Petrol,Automatic,Islamabad,White,1500,SUV,63.5
8804,MG HS 1.5 Turbo 2021,MG,2021,15000,Petrol,Automatic,Islamabad,White,1500,SUV,63.5
8805,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,Toyota,2022,3000,Petrol,Automatic,Islamabad,Black,1800,Sedan,63.5
8806,MG HS 1.5 Turbo 2021,MG,2021,32000,Petrol,Automatic,Islamabad,White,1500,SUV,63.5
8807,KIA Sportage FWD 2021,KIA,2021,18000,Petrol,Automatic,Karachi,Black,2000,SUV,63.5
8808,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,Toyota,2022,500,Petrol,Automatic,Karachi,Grey,1800,Sedan,63.5
8809,Toyota Fortuner 2.7 VVTi 2013,Toyota,2013,50000,Petrol,Automatic,Lahore,White,2700,SUV,63.5
8810,Nissan Kicks XV Premium 2020,Nissan,2020,6215,Petrol,Automatic,Un-Registered,Red,1200,Crossover,63.5
8811,Honda Civic Turbo 1.5 VTEC CVT 2022,Honda,2022,6500,Petrol,Automatic,Lahore,White,1500,Sedan,63.5
8812,MG HS 1.5 Turbo 2021,MG,2021,9000,Petrol,Automatic,Punjab,Black,1500,SUV,63.5
8813,KIA Sportage AWD 2021,KIA,2021,21000,Petrol,Automatic,Islamabad,Black,2000,SUV,63.5
8814,Toyota Corolla Altis Grande 1.8 2022,Toyota,2022,1500,Petrol,Automatic,Sindh,White,1800,Sedan,63.5
8815,KIA Sportage AWD 2020,KIA,2020,57000,Petrol,Automatic,Islamabad,White,2000,SUV,63.5
8816,KIA Sportage AWD 2020,KIA,2020,26500,Petrol,Automatic,Sindh,White,2000,SUV,63.5
8817,Proton X70 Executive AWD 2021,Proton,2021,30500,Petrol,Automatic,Karachi,Black,1500,SUV,63.5
8818,MG HS 1.5 Turbo 2021,MG,2021,5035,Petrol,Automatic,Punjab,White,1500,SUV,63.5
8819,KIA Sportage AWD 2021,KIA,2021,21000,Petrol,Automatic,Sindh,White,2000,SUV,63.5
8820,Honda Vezel Hybrid Z Honda Sensing  2017,Honda,2017,27000,Petrol,Automatic,Islamabad,White,1500,Crossover,63.5
8821,MG HS 1.5 Turbo 2021,MG,2021,31000,Petrol,Automatic,Un-Registered,Black,1500,SUV,63.5
8822,KIA Sportage FWD 2021,KIA,2021,24000,Petrol,Automatic,Islamabad,White,2000,SUV,63.5
8823,Peugeot 2008 Active 2022,Peugeot,2022,500,Petrol,Automatic,Un-Registered,White,1200,Crossover,63.5
8824,KIA Sportage AWD 2020,KIA,2020,28000,Petrol,Automatic,Karachi,White,2000,SUV,63.5
8825,Honda Civic 1.5 RS Turbo 2021,Honda,2021,30000,Petrol,Automatic,Islamabad,White,1500,Sedan,63.5
8826,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2022,Toyota,2022,7000,Petrol,Automatic,Islamabad,White,1800,Sedan,63.5
8827,DFSK Glory 580 1.5 CVT 2022,DFSK,2022,5100,Petrol,Automatic,Lahore,Black,1500,SUV,63.55
8828,KIA Sportage AWD 2020,KIA,2020,42000,Petrol,Automatic,Karachi,Red,2000,SUV,63.75
8829,KIA Sportage FWD 2021,KIA,2021,34000,Petrol,Automatic,Sindh,Black,2000,SUV,63.75
8830,KIA Sportage AWD 2020,KIA,2020,40000,Petrol,Automatic,Karachi,White,2000,SUV,63.75
8831,KIA Sportage FWD 2021,KIA,2021,9800,Petrol,Automatic,Karachi,White,2000,SUV,63.75
8832,MG HS 1.5 Turbo 2021,MG,2021,7500,Petrol,Automatic,Islamabad,Black,1500,SUV,63.8
8833,MG HS 1.5 Turbo 2021,MG,2021,18000,Petrol,Automatic,Islamabad,Black,1500,SUV,63.85
8834,Honda Vezel Hybrid RS Honda Sensing  2017,Honda,2017,42000,Petrol,Automatic,Islamabad,Black,1500,Crossover,63.85
8835,KIA Sportage AWD 2020,KIA,2020,39000,Petrol,Automatic,Karachi,Silver,2000,SUV,63.85
8836,KIA Sportage AWD 2021,KIA,2021,18900,Petrol,Automatic,Sindh,Silver,2000,SUV,63.85
8837,MG HS 1.5 Turbo 2021,MG,2021,21000,Petrol,Automatic,Punjab,White,1500,SUV,63.9
8838,KIA Sportage AWD 2021,KIA,2021,44000,Petrol,Automatic,Islamabad,White,2000,SUV,63.95
8839,Toyota C-HR S 2017,Toyota,2017,42000,Hybrid,Automatic,Un-Registered,Silver,1800,Crossover,63.99
8840,Honda Civic 1.5 VTEC Turbo Oriel 2020,Honda,2020,6151,Petrol,Automatic,Sindh,White,1500,Sedan,64
8841,MG HS 1.5 Turbo 2021,MG,2021,2000,Petrol,Automatic,Un-Registered,White,1500,SUV,64
8842,KIA Sportage AWD 2021,KIA,2021,23000,Petrol,Automatic,Islamabad,Black,2000,SUV,64
8843,MG HS 1.5 Turbo 2021,MG,2021,30000,Petrol,Automatic,Islamabad,White,1500,SUV,64
8844,Honda Vezel Hybrid RS Honda Sensing  2016,Honda,2016,50000,Petrol,Automatic,Lahore,Black,1500,Crossover,64
8845,Toyota Fortuner 2.7 VVTi 2013,Toyota,2013,8000,Petrol,Automatic,Karachi,Grey,2700,SUV,64
8846,MG HS 1.5 Turbo 2021,MG,2021,13000,Petrol,Automatic,Punjab,White,1500,SUV,64
8847,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,Toyota,2022,10000,Petrol,Automatic,Islamabad,White,1800,Sedan,64
8848,MG HS 1.5 Turbo 2021,MG,2021,12000,Petrol,Automatic,Un-Registered,Black,1500,SUV,64
8849,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2022,Toyota,2022,14000,Petrol,Automatic,Islamabad,White,1800,Sedan,64
8850,MG HS 1.5 Turbo 2021,MG,2021,6300,Petrol,Automatic,Islamabad,Black,1500,SUV,64
8851,KIA Sportage AWD 2021,KIA,2021,27000,Petrol,Automatic,Karachi,Black,2000,SUV,64
8852,KIA Sportage AWD 2020,KIA,2020,26461,Petrol,Automatic,Islamabad,White,2000,SUV,64
8853,Hyundai Tucson FWD A/T GLS Sport 2021,Hyundai,2021,32000,Petrol,Automatic,Punjab,Silver,2000,SUV,64
8854,KIA Sportage AWD 2021,KIA,2021,31000,Petrol,Automatic,Un-Registered,Red,2000,SUV,64
8855,MG HS 1.5 Turbo 2021,MG,2021,60000,Petrol,Automatic,Un-Registered,White,1500,SUV,64
8856,Honda Vezel Hybrid X Honda Sensing 2017,Honda,2017,60000,Petrol,Automatic,Un-Registered,White,1500,Crossover,64
8857,Honda Civic Oriel 1.8 i-VTEC CVT 2021,Honda,2021,11991,Petrol,Automatic,Lahore,Black,1800,Sedan,64
8858,KIA Sportage AWD 2021,KIA,2021,45500,Petrol,Automatic,Islamabad,White,2000,SUV,64
8859,MG HS 1.5 Turbo 2021,MG,2021,21000,Petrol,Automatic,Sindh,White,1500,SUV,64
8860,MG HS 1.5 Turbo 2021,MG,2021,25000,Petrol,Automatic,Islamabad,White,1500,SUV,64
8861,KIA Sportage AWD 2021,KIA,2021,28000,Petrol,Automatic,Lahore,Black,2000,SUV,64
8862,MG HS 1.5 Turbo 2021,MG,2021,22000,Petrol,Automatic,Un-Registered,Black,1500,SUV,64
8863,KIA Sportage FWD 2021,KIA,2021,49500,Petrol,Automatic,Islamabad,White,2000,SUV,64
8864,KIA Sportage AWD 2021,KIA,2021,33000,Petrol,Automatic,Sindh,Silver,2000,SUV,64
8865,KIA Sportage AWD 2020,KIA,2020,18000,Petrol,Automatic,Lahore,White,2000,SUV,64
8866,MG HS 1.5 Turbo 2021,MG,2021,18000,Petrol,Automatic,Islamabad,White,1500,SUV,64
8867,KIA Sportage AWD 2021,KIA,2021,18000,Petrol,Automatic,Un-Registered,Black,2000,SUV,64
8868,KIA Sportage FWD 2020,KIA,2020,20000,Petrol,Automatic,Karachi,Red,2000,SUV,64
8869,KIA Sportage AWD 2020,KIA,2020,26000,Petrol,Automatic,Lahore,Silver,2000,SUV,64
8870,KIA Sportage AWD 2020,KIA,2020,9500,Petrol,Automatic,Islamabad,White,2000,SUV,64
8871,KIA Sportage AWD 2020,KIA,2020,27000,Petrol,Automatic,Karachi,Blue,2000,SUV,64
8872,MG HS 1.5 Turbo 2022,MG,2022,15000,Petrol,Automatic,Lahore,White,1500,SUV,64
8873,MG HS 1.5 Turbo 2021,MG,2021,31000,Petrol,Automatic,Punjab,White,1500,SUV,64
8874,KIA Sportage AWD 2020,KIA,2020,28000,Petrol,Automatic,Lahore,White,2000,SUV,64
8875,KIA Sportage FWD 2021,KIA,2021,3000,Petrol,Automatic,Karachi,Black,2000,SUV,64
8876,KIA Sportage AWD 2020,KIA,2020,12000,Petrol,Automatic,Karachi,White,2000,SUV,64
8877,MG HS 1.5 Turbo 2021,MG,2021,16000,Petrol,Automatic,Islamabad,White,1500,SUV,64
8878,KIA Sportage AWD 2020,KIA,2020,25000,Petrol,Automatic,Islamabad,White,2000,SUV,64
8879,KIA Sportage AWD 2021,KIA,2021,26000,Petrol,Automatic,Punjab,White,2000,SUV,64
8880,KIA Sportage AWD 2021,KIA,2021,25000,Petrol,Automatic,Lahore,White,2000,SUV,64
8881,KIA Sportage FWD 2021,KIA,2021,27000,Petrol,Automatic,Islamabad,White,2000,SUV,64
8882,Honda Civic 1.5 VTEC Turbo Oriel 2022,Honda,2022,3700,Petrol,Automatic,Un-Registered,Silver,1500,Sedan,64
8883,KIA Sportage AWD 2021,KIA,2021,24000,Petrol,Automatic,Punjab,Black,2000,SUV,64
8884,KIA Sportage AWD 2021,KIA,2021,28000,Petrol,Automatic,Un-Registered,Black,2000,SUV,64
8885,Honda Vezel Hybrid Z Honda Sensing  2018,Honda,2018,32074,Petrol,Automatic,Lahore,Black,1500,Crossover,64
8886,MG HS 1.5 Turbo 2021,MG,2021,40000,Petrol,Automatic,Islamabad,White,1500,SUV,64
8887,KIA Sportage AWD 2020,KIA,2020,34000,Petrol,Automatic,Lahore,Black,2000,SUV,64
8888,KIA Sportage AWD 2019,KIA,2019,50000,Petrol,Automatic,Punjab,Black,2000,SUV,64
8889,KIA Sportage AWD 2021,KIA,2021,22525,Petrol,Automatic,Un-Registered,White,2000,SUV,64
8890,KIA Sportage AWD 2020,KIA,2020,19000,Petrol,Automatic,Islamabad,White,2000,SUV,64
8891,KIA Sportage AWD 2022,KIA,2022,1400,Petrol,Automatic,Un-Registered,White,2000,SUV,64
8892,Toyota C-HR S 2017,Toyota,2017,53000,Hybrid,Automatic,Un-Registered,White,1800,Crossover,64
8893,MG HS 1.5 Turbo 2021,MG,2021,33666,Petrol,Automatic,Islamabad,Black,1500,SUV,64
8894,MG HS 1.5 Turbo 2021,MG,2021,60000,Petrol,Automatic,Islamabad,White,1500,SUV,64
8895,KIA Sportage AWD 2020,KIA,2020,30000,Petrol,Automatic,Punjab,White,2000,SUV,64
8896,KIA Sportage FWD 2021,KIA,2021,7000,Petrol,Automatic,Karachi,White,2000,SUV,64
8897,KIA Sportage AWD 2020,KIA,2020,38000,Petrol,Automatic,Karachi,White,2000,SUV,64
8898,Honda Vezel Hybrid RS Honda Sensing  2016,Honda,2016,11000,Petrol,Automatic,Un-Registered,Black,1500,Crossover,64
8899,Toyota Prius A Touring Selection 2018,Toyota,2018,34000,Petrol,Automatic,Un-Registered,Grey,1800,Sedan,64
