S.No#,CarTitle,CarCompany,ModelYear,Mileage(km),EngineType,Transmission,RegisteredCIty,CarColor,EngineCapacity(cc),BodyType,Price(PKR_lacs)
1515,Honda N Box G SS Package 2014,Honda,2014,56000,Petrol,Automatic,Islamabad,Black,660,Hatchback,16.5
1516,Toyota Passo G F Package 2010,Toyota,2010,59000,Petrol,Automatic,Sindh,Maroon,1000,Hatchback,16.5
1517,Suzuki Swift DLX 1.3 2017,Suzuki,2017,60000,Petrol,Manual,Sindh,Silver,1300,Hatchback,16.5
1518,Suzuki Bolan VX Euro II 2021,Suzuki,2021,23000,Petrol,Manual,Islamabad,White,800,Van,16.5
1519,Suzuki Bolan VX Euro II 2022,Suzuki,2022,15000,Petrol,Manual,Rawalpindi,White,800,Van,16.5
1520,Suzuki Bolan VX Euro II 2022,Suzuki,2022,4000,Petrol,Manual,Un-Registered,White,800,Van,16.5
1521,Suzuki Every PC 2014,Suzuki,2014,59000,Petrol,Automatic,Sindh,Silver,660,Micro Van,16.5
1522,Honda City 1.3 i-VTEC 2011,Honda,2011,1480,Petrol,Manual,Sindh,Grey,1300,Sedan,16.5
1523,Suzuki Ravi Euro II 2021,Suzuki,2021,15000,Petrol,Manual,Abbottabad,White,800,Pick Up,16.5
1524,Honda City i-DSI 2006,Honda,2006,40000,Petrol,Manual,Rawalpindi,Silver,1300,Sedan,16.5
1525,Honda City i-DSI 2008,Honda,2008,20000,Petrol,Manual,Islamabad,Silver,1300,Sedan,16.5
1526,Suzuki Swift DLX 1.3 2014,Suzuki,2014,59000,Petrol,Manual,Sindh,Black,1300,Hatchback,16.5
1527,Changan Alsvin 1.5L DCT Lumiere 2021,Changan,2021,15000,Petrol,Automatic,Islamabad,White,1500,Sedan,16.5
1528,Suzuki Bolan VX Euro II AC 2022,Suzuki,2022,5100,Petrol,Manual,Rawalpindi,White,800,Micro Van,16.5
1529,Toyota Estima AERAS G Package 1997,Toyota,1997,45000,Diesel,Automatic,Mirpur A.K.,Silver,2200,Van,16.5
1530,Prince Pearl MT 2021,Prince,2021,304,Petrol,Manual,Hyderabad,White,800,Hatchback,16.5
1531,Changan Alsvin 1.5L DCT Lumiere 2022,Changan,2022,6600,Petrol,Automatic,Islamabad,Silver,1500,Sedan,16.5
1532,Suzuki Wagon R VXR 2015,Suzuki,2015,60000,Petrol,Manual,Islamabad,Silver,1000,Hatchback,16.5
1533,Suzuki Bolan VX Euro II 2021,Suzuki,2021,9000,Petrol,Manual,Islamabad,White,800,Van,16.5
1534,Suzuki Bolan VX Euro II 2022,Suzuki,2022,3785,Petrol,Manual,Islamabad,White,800,Van,16.6
1535,Prince Pearl MT 2022,Prince,2022,1000,Petrol,Manual,Punjab,White,800,Hatchback,16.6
1536,Suzuki Wagon R VXL 2017,Suzuki,2017,51000,Petrol,Manual,Sindh,Grey,1000,Hatchback,16.65
1537,Suzuki Bolan VX Euro II 2022,Suzuki,2022,11000,Petrol,Manual,Islamabad,White,800,Van,16.7
1538,United Alpha 1.0 Manual 2021,United,2021,12000,Petrol,Manual,Punjab,Grey,1000,Hatchback,16.7
1539,Suzuki Bolan VX Euro II 2022,Suzuki,2022,1800,Petrol,Manual,Islamabad,White,800,Van,16.7
1540,Toyota Corolla Altis 1.8 2005,Toyota,2005,1234,Petrol,Manual,Islamabad,Pink,1800,Sedan,16.75
1541,Toyota iQ 100X 2 Seater 2008,Toyota,2008,35000,Petrol,Automatic,Sindh,Red,1000,Hatchback,16.75
1542,Jeep M 151 Standard 2022,Jeep,2022,1000,Petrol,Manual,Sindh,Black,2000,SUV,16.75
1543,Suzuki Bolan VX Euro II 2022,Suzuki,2022,7300,Petrol,Manual,Rawalpindi,Maroon,800,Van,16.75
1544,Nissan Sunny EX Saloon Automatic 1.6 2005,Nissan,2005,52000,Petrol,Automatic,Islamabad,Blue,1600,Sedan,16.75
1545,Suzuki Alto VXR 2019,Suzuki,2019,42000,Petrol,Manual,Lahore,White,660,Hatchback,16.8
