S.No#,CarTitle,CarCompany,ModelYear,Mileage(km),EngineType,Transmission,RegisteredCIty,CarColor,EngineCapacity(cc),BodyType,Price(PKR_lacs),PredictedPrice_LR,PredictedPrice_RR,PredictedPrice_SVR
2646,Changan Karvaan Plus 2021,Changan,2021,16000,Petrol,Manual,Lahore,White,1000.0,Mini Van,21.75,22.429249885302852,22.37500214733609,26.805313662397218
2647,Suzuki Alto VXL AGS 2020,Suzuki,2020,40000,Petrol,Automatic,Islamabad,White,660.0,Hatchback,21.8,25.103388691268265,25.331818819133332,18.90566439179468
2648,Suzuki Wagon R VXL 2018,Suzuki,2018,26978,Petrol,Manual,Lahore,White,1000.0,Hatchback,21.8,20.45328178946511,20.466193141473923,26.79181176505196
2649,Suzuki Alto VXL AGS 2020,Suzuki,2020,22000,Petrol,Automatic,Lahore,Silver,660.0,Hatchback,21.8,23.120283529960034,23.336451713959832,18.905546746639516
2650,Suzuki Alto VXR 2022,Suzuki,2022,2900,Petrol,Manual,Sindh,White,660.0,Hatchback,21.8,20.86364398544174,20.795928827191346,18.913099123119714
2651,Suzuki Wagon R VXR 2020,Suzuki,2020,31000,Petrol,Manual,Punjab,Silver,1000.0,Hatchback,21.8,24.214587792098428,24.108347898009924,26.80071344145157
2652,Suzuki Alto VXR 2022,Suzuki,2022,7350,Petrol,Manual,Sindh,White,660.0,Hatchback,21.8,20.86364398544174,20.795928827191346,18.913099123119714
2653,Suzuki Alto VXR 2021,Suzuki,2021,39267,Petrol,Manual,Islamabad,Silver,660.0,Hatchback,21.8,19.367941905149564,19.31223983755808,18.908934443768352
2654,Suzuki Alto VXR 2022,Suzuki,2022,18000,Petrol,Manual,Punjab,White,660.0,Hatchback,21.8,21.56402032074311,21.47680245219908,18.91317615774784
2655,Suzuki Alto VXR 2021,Suzuki,2021,25000,Petrol,Manual,Islamabad,White,660.0,Hatchback,21.8,20.202687067481747,20.1768319911489,18.908951156042754
2656,Suzuki Alto VXR 2022,Suzuki,2022,7000,Petrol,Manual,Punjab,White,660.0,Hatchback,21.8,21.56402032074311,21.47680245219908,18.91317615774784
2657,Suzuki Alto VXR 2021,Suzuki,2021,11000,Petrol,Manual,Punjab,White,660.0,Hatchback,21.8,19.47766240801593,19.4008009547033,18.908931163181443
