S.No#,CarTitle,CarCompany,ModelYear,Mileage(km),EngineType,Transmission,RegisteredCIty,CarColor,EngineCapacity(cc),BodyType,Price(PKR_lacs),PredictedPrice_LR,PredictedPrice_RR,PredictedPrice_SVR
8241,MG HS 1.5 Turbo 2021,MG,2021,14810,Petrol,Automatic,Islamabad,Black,1500.0,SUV,60.0,66.13666802947046,66.19984172898785,44.488211900800955
8242,Honda Civic Oriel 1.8 i-VTEC CVT 2021,Honda,2021,22000,Petrol,Automatic,Karachi,White,1800.0,Sedan,60.0,56.52403660892742,56.498066464314434,57.30129266669469
8243,KIA Sportage Alpha 2021,KIA,2021,45000,Petrol,Automatic,Karachi,Silver,2000.0,SUV,60.0,63.44610378895595,63.432518918215465,66.14963914809078
8244,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2021,Toyota,2021,17000,Petrol,Automatic,Karachi,White,1800.0,Sedan,60.0,55.1716980681922,55.249382674311164,57.301448208635854
8245,KIA Sportage Alpha 2021,KIA,2021,2500,Petrol,Automatic,Sindh,White,2000.0,SUV,60.0,64.44151415964188,64.4505307112695,66.14958256346894
8246,MG HS 1.5 Turbo 2021,MG,2021,25000,Petrol,Automatic,Sindh,Black,1500.0,SUV,60.0,64.71126703470327,64.74293706753451,44.48810283535265
8247,Audi A4 1.8 TFSI 2014,Audi,2014,57000,Petrol,Automatic,Karachi,Brown,1800.0,Sedan,60.0,96.35446881841017,95.69727402303215,57.27068472145567
8248,MG HS 1.5 Turbo 2021,MG,2021,11000,Petrol,Automatic,Islamabad,Black,1500.0,SUV,60.0,66.13666802947046,66.19984172898785,44.488211900800955
8249,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2021,Toyota,2021,6500,Petrol,Automatic,Islamabad,Silver,1800.0,Sedan,60.0,55.92301910898095,55.99511482163689,57.301436105771494
8250,MG HS 1.5 Turbo 2021,MG,2021,9500,Petrol,Automatic,Punjab,White,1500.0,SUV,60.0,63.43630152626156,63.3948966923972,44.48803586899322
8251,Honda Vezel Hybrid Z Honda Sensing  2016,Honda,2016,49000,Petrol,Automatic,Karachi,Black,1500.0,Crossover,60.0,59.554020633348955,59.60421034639239,44.46561341319042
8252,KIA Sportage FWD 2021,KIA,2021,48000,Petrol,Automatic,Punjab,Black,2000.0,SUV,60.0,67.11723233868634,67.16031833642228,66.14980106946426
8253,Honda Civic Oriel 1.8 i-VTEC CVT 2022,Honda,2022,7100,Petrol,Automatic,Karachi,Maroon,1800.0,Sedan,60.0,54.979488491238044,54.902933164077695,57.305695747544114
8254,Hyundai Elantra GLS 2022,Hyundai,2022,11000,Petrol,Automatic,Islamabad,Grey,2000.0,Sedan,60.0,57.83048687545852,57.85958274601671,66.15351236847873
8255,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,Toyota,2022,13330,Petrol,Automatic,Punjab,Black,1800.0,Sedan,60.0,60.09443936831758,60.18859143642294,57.305974683698
8256,Honda Civic Oriel 1.8 i-VTEC CVT 2021,Honda,2021,12000,Petrol,Automatic,Islamabad,Silver,1800.0,Sedan,60.0,57.27535764971617,57.24379861164016,57.30128056379628
8257,MG HS 1.5 Turbo 2021,MG,2021,36000,Petrol,Automatic,Punjab,White,1500.0,SUV,60.0,63.43630152626156,63.3948966923972,44.48803586899322
8258,Honda Civic Turbo 1.5 VTEC CVT 2020,Honda,2020,37500,Petrol,Automatic,Islamabad,Burgundy,1500.0,Sedan,60.0,46.063314162776805,46.30747149944091,44.48290688477741
8259,Toyota Hilux Vigo Champ G 2016,Toyota,2016,38000,Diesel,Automatic,Karachi,White,2500.0,Double Cabin,60.0,78.61128726239895,78.59069247807656,86.99032270609345
8260,DFSK Glory 580 Pro 2021,DFSK,2021,15000,Petrol,Automatic,Punjab,Black,1500.0,Crossover,60.0,53.96781187311262,54.00842551039386,44.4881591758876
8261,Toyota Aqua Crossover 2019,Toyota,2019,22000,Hybrid,Automatic,Islamabad,White,1500.0,Hatchback,60.0,54.137041278787365,54.12100809952699,44.47904778294801
8262,Hyundai Elantra GLS 2022,Hyundai,2022,3600,Petrol,Automatic,Islamabad,White,2000.0,Sedan,60.0,57.89074109402736,57.929050990148426,66.15357267297668
8263,KIA Sportage Alpha 2021,KIA,2021,23000,Petrol,Automatic,Punjab,Black,2000.0,SUV,60.0,67.11723233868634,67.16031833642228,66.14980106946426
8264,Toyota Corolla Fielder Hybrid G 2018,Toyota,2018,7700,Hybrid,Automatic,Un-Registered,Silver,1500.0,Station Wagon,60.0,62.92167646089092,62.65058282813243,44.47490232340155
8265,KIA Sportage AWD 2019,KIA,2019,48463,Petrol,Automatic,Punjab,Navy,2000.0,SUV,60.0,64.067325766885,64.06563989973165,66.14113195264594
8266,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,Toyota,2022,912,Petrol,Automatic,Un-Registered,White,1800.0,Sedan,60.0,60.964871504185794,61.080457571056286,57.30612310273294
8267,Honda Civic 1.5 RS Turbo 2020,Honda,2020,33000,Petrol,Automatic,Punjab,White,1500.0,Sedan,60.05,48.54163630531821,48.50799888329766,44.48286184801846
8268,MG HS 1.5 Turbo 2021,MG,2021,25000,Petrol,Automatic,Punjab,White,1500.0,SUV,60.2,63.43630152626156,63.3948966923972,44.48803586899322
8269,KIA Sportage FWD 2020,KIA,2020,27418,Petrol,Automatic,Punjab,White,2000.0,SUV,60.2,63.055532582216074,63.055402838782356,66.14539027272491
8270,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,Toyota,2022,1500,Petrol,Automatic,Punjab,White,1800.0,Sedan,60.2,58.1190975245745,58.15967743627789,57.30582927275125
8271,Toyota Corolla Altis Grande CVT-i 1.8 2022,Toyota,2022,9500,Petrol,Automatic,Islamabad,White,1800.0,Sedan,60.25,58.844122184040316,58.93570847272349,57.305859318403485
8272,KIA Sportage AWD 2020,KIA,2020,44000,Petrol,Automatic,Islamabad,White,2000.0,SUV,60.25,63.78055724168189,63.83143387522796,66.1454209797556
8273,Honda Civic Oriel 1.8 i-VTEC CVT 2021,Honda,2021,8900,Petrol,Automatic,Islamabad,White,1800.0,Sedan,60.25,58.11010281204835,58.10839076523098,57.301309857640256
8274,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,Toyota,2022,4500,Petrol,Automatic,Punjab,White,1800.0,Sedan,60.3,58.1190975245745,58.15967743627789,57.30582927275125
8275,MG HS 1.5 Turbo 2021,MG,2021,27000,Petrol,Automatic,Un-Registered,White,1500.0,SUV,60.35,66.28207550587285,66.3156768271756,44.488337794596305
8276,KIA Sportage FWD 2021,KIA,2021,21000,Petrol,Automatic,Punjab,White,2000.0,SUV,60.4,65.14189049494325,65.13140433627723,66.14965906389331
8277,Honda Civic Oriel 1.8 i-VTEC CVT 2022,Honda,2022,1050,Petrol,Automatic,Islamabad,Black,1800.0,Sedan,60.5,62.171802568518615,62.21330626287181,57.30584918726217
8278,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2022,Toyota,2022,24000,Petrol,Automatic,Islamabad,Black,1800.0,Sedan,60.5,60.8194640277834,60.96462247286854,57.306004729335946
8279,Chery Tiggo 4 Pro DEX Plus 1.5T 2022,Chery,2022,1800,Petrol,Automatic,Islamabad,Silver,1500.0,Crossover,60.5,75.95486042792072,75.50435040477805,44.49244214668714
8280,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2022,Toyota,2022,7800,Petrol,Automatic,Islamabad,White,1800.0,Sedan,60.5,58.844122184040316,58.93570847272349,57.305859318403485
8281,MG HS 1.5 Turbo 2021,MG,2021,9000,Petrol,Automatic,Punjab,White,1500.0,SUV,60.5,63.43630152626156,63.3948966923972,44.48803586899322
8282,KIA Sportage AWD 2020,KIA,2020,32000,Petrol,Automatic,Karachi,White,2000.0,SUV,60.5,62.194491038560955,62.22110957431141,66.14540107664482
8283,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2022,Toyota,2022,3900,Petrol,Automatic,Sindh,White,1800.0,Sedan,60.5,57.41872118927313,57.478803811270154,57.305750534432555
8284,KIA Sportage AWD 2019,KIA,2019,48000,Petrol,Automatic,Karachi,Black,2000.0,SUV,60.5,62.083474969575946,62.17402207696159,66.14127348238362
8285,Honda Civic Oriel 1.8 i-VTEC CVT 2021,Honda,2021,3600,Petrol,Automatic,Islamabad,White,1800.0,Sedan,60.5,58.11010281204835,58.10839076523098,57.301309857640256
8286,Honda Civic Oriel 1.8 i-VTEC CVT 2022,Honda,2022,5800,Petrol,Automatic,Islamabad,White,1800.0,Sedan,60.5,60.196460724775534,60.18439226272676,57.305703776310274
8287,Honda Civic 1.5 RS Turbo 2020,Honda,2020,33000,Petrol,Automatic,Lahore,White,1500.0,Sedan,60.5,48.118300965807975,48.15325496816058,44.482779448514115
8288,KIA Sportage AWD 2020,KIA,2020,28000,Petrol,Automatic,Islamabad,White,2000.0,SUV,60.5,63.78055724168189,63.83143387522796,66.1454209797556
8289,KIA Sportage FWD 2020,KIA,2020,25800,Petrol,Automatic,Islamabad,White,2000.0,SUV,60.5,63.78055724168189,63.83143387522796,66.1454209797556
8290,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,Toyota,2022,5000,Petrol,Automatic,Karachi,Silver,1800.0,Sedan,60.5,56.4233108185872,56.460792018216125,57.305812832826405
8291,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2022,Toyota,2022,8500,Petrol,Automatic,Islamabad,White,1800.0,Sedan,60.5,58.844122184040316,58.93570847272349,57.305859318403485
8292,MG HS 1.5 Turbo 2021,MG,2021,25000,Petrol,Automatic,Karachi,White,1500.0,SUV,60.5,62.57525998260644,62.56060342792625,44.488051304747415
8293,MG HS 1.5 Turbo 2021,MG,2021,22000,Petrol,Automatic,Islamabad,Black,1500.0,SUV,60.5,66.13666802947046,66.19984172898785,44.488211900800955
8294,KIA Sportage AWD 2020,KIA,2020,57300,Petrol,Automatic,Karachi,White,2000.0,SUV,60.5,62.194491038560955,62.22110957431141,66.14540107664482
8295,KIA Sportage FWD 2021,KIA,2021,55000,Petrol,Automatic,Islamabad,White,2000.0,SUV,60.5,65.86691515440907,65.90743537272283,66.14968977122108
8296,MG HS 1.5 Turbo 2021,MG,2021,20000,Petrol,Automatic,Un-Registered,White,1500.0,SUV,60.5,66.28207550587285,66.3156768271756,44.488337794596305
8297,Toyota Corolla Altis Grande CVT-i 1.8 2022,Toyota,2022,4500,Petrol,Automatic,Sindh,White,1800.0,Sedan,60.5,57.41872118927313,57.478803811270154,57.305750534432555
8298,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,Toyota,2022,16000,Petrol,Automatic,Punjab,White,1800.0,Sedan,60.5,58.1190975245745,58.15967743627789,57.30582927275125
8299,MG HS 1.5 Turbo 2021,MG,2021,10000,Petrol,Automatic,Un-Registered,Black,1500.0,SUV,60.5,68.25741734961593,68.34459082732064,44.48848551031036
8300,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,Toyota,2022,5000,Petrol,Automatic,Karachi,Black,1800.0,Sedan,60.5,59.23339782466246,59.354298171951996,57.30598753801166
8301,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,Toyota,2022,5000,Petrol,Automatic,Karachi,Black,1800.0,Sedan,60.5,59.23339782466246,59.354298171951996,57.30598753801166
8302,KIA Sportage AWD 2020,KIA,2020,41500,Petrol,Automatic,Lahore,Black,2000.0,SUV,60.5,64.60753908644892,64.72957292379033,66.14545578178517
8303,KIA Sportage Alpha 2021,KIA,2021,22000,Petrol,Automatic,Islamabad,White,2000.0,SUV,60.5,65.86691515440907,65.90743537272283,66.14968977122108
8304,MG HS 1.5 Turbo 2021,MG,2021,11600,Petrol,Automatic,Un-Registered,Silver,1500.0,SUV,60.5,65.44733034354067,65.45108467358477,44.48831124516683
8305,MG HS 1.5 Turbo 2021,MG,2021,14000,Petrol,Automatic,Un-Registered,Black,1500.0,SUV,60.5,68.25741734961593,68.34459082732064,44.48848551031036
8306,KIA Sportage AWD 2020,KIA,2020,53000,Petrol,Automatic,Lahore,White,2000.0,SUV,60.5,62.63219724270584,62.70065892364528,66.14531377573603
8307,KIA Sportage Alpha 2021,KIA,2021,6000,Petrol,Automatic,Islamabad,White,2000.0,SUV,60.5,65.86691515440907,65.90743537272283,66.14968977122108
8308,MG HS 1.5 Turbo 2021,MG,2021,14092,Petrol,Automatic,Islamabad,White,1500.0,SUV,60.5,64.16132618572738,64.1709277288428,44.48806418508879
8309,KIA Sportage AWD 2020,KIA,2020,38000,Petrol,Automatic,Sindh,Navy,2000.0,SUV,60.55,65.45330734431172,65.46076777221879,66.1453250523359
8310,Honda Civic Oriel 1.8 i-VTEC CVT 2022,Honda,2022,9000,Petrol,Automatic,Islamabad,White,1800.0,Sedan,60.6,60.196460724775534,60.18439226272676,57.305703776310274
8311,KIA Sportage FWD 2021,KIA,2021,40000,Petrol,Automatic,Punjab,White,2000.0,SUV,60.7,65.14189049494325,65.13140433627723,66.14965906389331
8312,Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2022,Honda,2022,22000,Petrol,Automatic,Islamabad,White,1800.0,Sedan,60.7,60.196460724775534,60.18439226272676,57.305703776310274
8313,KIA Sportage FWD 2021,KIA,2021,19800,Petrol,Automatic,Karachi,Grey,2000.0,SUV,60.75,64.22059473271929,64.22764282767457,66.14960956365766
8314,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,Toyota,2022,1750,Petrol,Automatic,Karachi,Black,1800.0,Sedan,60.75,59.23339782466246,59.354298171951996,57.30598753801166
8315,KIA Sportage AWD 2020,KIA,2020,31000,Petrol,Automatic,Islamabad,White,2000.0,SUV,60.75,63.78055724168189,63.83143387522796,66.1454209797556
8316,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2022,Toyota,2022,5000,Petrol,Automatic,Islamabad,White,1800.0,Sedan,60.75,58.844122184040316,58.93570847272349,57.305859318403485
8317,KIA Sportage AWD 2020,KIA,2020,29100,Petrol,Automatic,Punjab,White,2000.0,SUV,60.75,63.055532582216074,63.055402838782356,66.14539027272491
8318,MG HS 1.5 Turbo 2021,MG,2021,32100,Petrol,Automatic,Punjab,Black,1500.0,SUV,60.75,65.41164337000464,65.42381069254225,44.48818358472552
8319,MG HS 1.5 Turbo 2021,MG,2021,22000,Petrol,Automatic,Lahore,White,1500.0,SUV,60.75,63.01296618675133,63.04015277726012,44.487953469595645
8320,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,Toyota,2022,7000,Petrol,Automatic,Islamabad,White,1800.0,Sedan,60.75,58.844122184040316,58.93570847272349,57.305859318403485
8321,KIA Sportage AWD 2020,KIA,2020,25000,Petrol,Automatic,Islamabad,White,2000.0,SUV,60.8,63.78055724168189,63.83143387522796,66.1454209797556
8322,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2022,Toyota,2022,2000,Petrol,Automatic,Islamabad,White,1800.0,Sedan,60.8,58.844122184040316,58.93570847272349,57.305859318403485
8323,MG HS 1.5 Turbo 2021,MG,2021,28000,Petrol,Automatic,Punjab,Black,1500.0,SUV,60.85,65.41164337000464,65.42381069254225,44.48818358472552
8324,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2022,Toyota,2022,5100,Petrol,Automatic,Islamabad,White,1800.0,Sedan,60.85,58.844122184040316,58.93570847272349,57.305859318403485
8325,Honda Civic Standard 2022,Honda,2022,350,Petrol,Automatic,Un-Registered,White,1500.0,Sedan,60.9,55.56012611038386,55.58078201306671,44.49216134952849
8326,KIA Sportage AWD 2020,KIA,2020,42119,Petrol,Automatic,Islamabad,White,2000.0,SUV,60.9,63.78055724168189,63.83143387522796,66.1454209797556
8327,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,Toyota,2022,3000,Petrol,Automatic,Islamabad,White,1800.0,Sedan,60.9,58.844122184040316,58.93570847272349,57.305859318403485
8328,Toyota Corolla Altis Grande CVT-i 1.8 2022,Toyota,2022,6000,Petrol,Automatic,Islamabad,Silver,1800.0,Sedan,60.99,58.00937702170813,58.07111631913267,57.30583002414151
8329,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,Toyota,2022,17500,Petrol,Automatic,Islamabad,White,1800.0,Sedan,61.0,58.844122184040316,58.93570847272349,57.305859318403485
8330,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,Toyota,2022,5000,Petrol,Automatic,Islamabad,White,1800.0,Sedan,61.0,58.844122184040316,58.93570847272349,57.305859318403485
8331,Toyota Hiace TRH 214 2017,Toyota,2017,52000,Petrol,Automatic,Un-Registered,White,2700.0,High Roof,61.0,75.82305004058344,75.57290760998967,94.06687724981177
8332,Honda Civic 1.5 RS Turbo 2021,Honda,2021,20000,Petrol,Automatic,Islamabad,Black,1500.0,Sedan,61.0,53.328360721254285,53.388945417383184,44.487533849425276
8333,KIA Sportage FWD 2021,KIA,2021,9400,Petrol,Automatic,Un-Registered,White,2000.0,SUV,61.0,67.98766447455455,68.05218447105563,66.14994350345073
8334,KIA Sportage AWD 2020,KIA,2020,41000,Petrol,Automatic,Islamabad,Black,2000.0,SUV,61.0,65.75589908542497,65.86034787537301,66.14556298582991
8335,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,Toyota,2022,10000,Petrol,Automatic,Karachi,White,1800.0,Sedan,61.0,57.25805598091938,57.325384171806945,57.30584212706931
8336,Toyota C-HR S 2017,Toyota,2017,56000,Hybrid,Automatic,Sindh,Black,1800.0,Crossover,61.0,73.45850640948174,73.55479380716406,57.28474410505051
8337,Toyota Raize Z 2020,Toyota,2020,43000,Petrol,Automatic,Un-Registered,White,1000.0,Crossover,61.0,57.01678086548509,57.1384263654827,26.80261359561095
8338,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,Toyota,2022,15000,Petrol,Automatic,Islamabad,White,1800.0,Sedan,61.0,58.844122184040316,58.93570847272349,57.305859318403485
8339,Honda Civic 1.5 RS Turbo 2020,Honda,2020,26000,Petrol,Automatic,Islamabad,Black,1500.0,Sedan,61.0,51.242002808527104,51.31294391988831,44.483037880130986
8340,MG HS 1.5 Turbo 2021,MG,2021,25000,Petrol,Automatic,Karachi,Black,1500.0,SUV,61.0,64.55060182634952,64.5895174280713,44.488199020488665
8341,Honda Civic 1.5 RS Turbo 2020,Honda,2020,39000,Petrol,Automatic,Islamabad,White,1500.0,Sedan,61.0,49.26666096478402,49.28402991974326,44.4828901638094
8342,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2022,Toyota,2022,2700,Petrol,Automatic,Punjab,White,1800.0,Sedan,61.0,58.1190975245745,58.15967743627789,57.30582927275125
8343,KIA Sportage AWD 2020,KIA,2020,26000,Petrol,Automatic,Islamabad,White,2000.0,SUV,61.0,63.78055724168189,63.83143387522796,66.1454209797556
8344,Honda Civic Oriel 1.8 i-VTEC CVT 2022,Honda,2022,12400,Petrol,Automatic,Lahore,Silver,1800.0,Sedan,61.0,58.2133555634673,58.18902515755326,57.30556504348059
8345,KIA Sportage AWD 2020,KIA,2020,31000,Petrol,Automatic,Islamabad,White,2000.0,SUV,61.0,63.78055724168189,63.83143387522796,66.1454209797556
8346,Honda Civic Oriel 1.8 i-VTEC CVT 2022,Honda,2022,15000,Petrol,Automatic,Punjab,White,1800.0,Sedan,61.0,59.47143606530972,59.40836122628116,57.305673730690195
8347,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,Toyota,2022,7500,Petrol,Automatic,Un-Registered,White,1800.0,Sedan,61.0,60.964871504185794,61.080457571056286,57.30612310273294
8348,Toyota Corolla Altis Grande CVT-i 1.8 2022,Toyota,2022,400,Petrol,Automatic,Punjab,White,1800.0,Sedan,61.0,58.1190975245745,58.15967743627789,57.30582927275125
8349,MG HS 1.5 Turbo 2021,MG,2021,12000,Petrol,Automatic,Un-Registered,Black,1500.0,SUV,61.0,68.25741734961593,68.34459082732064,44.48848551031036
8350,Honda Civic 1.5 RS Turbo 2021,Honda,2021,10000,Petrol,Automatic,Lahore,Burgundy,1500.0,Sedan,61.0,47.00131207652794,47.2526980453531,44.48729213861192
8351,MG HS 1.5 Turbo 2021,MG,2021,16000,Petrol,Automatic,Lahore,White,1500.0,SUV,61.0,63.01296618675133,63.04015277726012,44.487953469595645
8352,MG HS 1.5 Turbo 2021,MG,2021,33000,Petrol,Automatic,Islamabad,White,1500.0,SUV,61.0,64.16132618572738,64.1709277288428,44.48806418508879
8353,MG HS 1.5 Turbo 2021,MG,2021,27000,Petrol,Automatic,Karachi,White,1500.0,SUV,61.0,62.57525998260644,62.56060342792625,44.488051304747415
8354,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,Toyota,2022,9000,Petrol,Automatic,Islamabad,White,1800.0,Sedan,61.0,58.844122184040316,58.93570847272349,57.305859318403485
8355,Peugeot 2008 Allure 2022,Peugeot,2022,3000,Petrol,Automatic,Karachi,Black,1200.0,Crossover,61.0,62.151920515731945,61.976894305810674,33.13879821881059
8356,MG HS 1.5 Turbo 2021,MG,2021,29000,Petrol,Automatic,Punjab,Black,1500.0,SUV,61.0,65.41164337000464,65.42381069254225,44.48818358472552
8357,KIA Sportage AWD 2019,KIA,2019,21000,Petrol,Automatic,Karachi,White,2000.0,SUV,61.0,60.108133125832865,60.14510807681654,66.14113147590602
8358,MG HS 1.5 Turbo 2021,MG,2021,14500,Petrol,Automatic,Un-Registered,White,1500.0,SUV,61.0,66.28207550587285,66.3156768271756,44.488337794596305
8359,Peugeot 2008 Allure 2022,Peugeot,2022,5000,Petrol,Automatic,Karachi,Black,1200.0,Crossover,61.0,62.151920515731945,61.976894305810674,33.13879821881059
8360,Honda Civic 1.5 RS Turbo 2021,Honda,2021,11269,Petrol,Automatic,Un-Registered,Black,1500.0,Sedan,61.0,55.44911004139976,55.53369451571598,44.48780745901385
8361,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2022,Toyota,2022,1050,Petrol,Automatic,Islamabad,White,1800.0,Sedan,61.0,58.844122184040316,58.93570847272349,57.305859318403485
8362,KIA Sportage AWD 2021,KIA,2021,16000,Petrol,Automatic,Un-Registered,Black,2000.0,SUV,61.0,69.96300631829763,70.08109847120068,66.15008550899556
8363,MG HS 1.5 Turbo 2021,MG,2021,32000,Petrol,Automatic,Islamabad,Black,1500.0,SUV,61.0,66.13666802947046,66.19984172898785,44.488211900800955
8364,KIA Sportage AWD 2020,KIA,2020,49758,Petrol,Automatic,Lahore,White,2000.0,SUV,61.0,62.63219724270584,62.70065892364528,66.14531377573603
8365,Peugeot 2008 High 2022,Peugeot,2022,7200,Petrol,Automatic,Karachi,Black,1200.0,Compact SUV,61.0,64.2685623371699,63.944027869782985,33.13859678254842
8366,KIA Sportage FWD 2021,KIA,2021,18400,Petrol,Automatic,Islamabad,White,2000.0,SUV,61.0,65.86691515440907,65.90743537272283,66.14968977122108
8367,KIA Sportage AWD 2020,KIA,2020,28200,Petrol,Automatic,Punjab,White,2000.0,SUV,61.0,63.055532582216074,63.055402838782356,66.14539027272491
8368,MG HS 1.5 Turbo 2021,MG,2021,8000,Petrol,Automatic,Un-Registered,White,1500.0,SUV,61.0,66.28207550587285,66.3156768271756,44.488337794596305
8369,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2021,Toyota,2021,25000,Petrol,Automatic,Islamabad,Silver,1800.0,Sedan,61.0,55.92301910898095,55.99511482163689,57.301436105771494
8370,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2022,Toyota,2022,25000,Petrol,Automatic,Islamabad,Black,1800.0,Sedan,61.0,60.8194640277834,60.96462247286854,57.306004729335946
8371,Honda Vezel Hybrid RS Honda Sensing  2016,Honda,2016,50000,Petrol,Automatic,Karachi,Red,1500.0,Crossover,61.0,57.82095078477141,57.71431285889412,44.46548401645943
8372,Peugeot 2008 Allure 2022,Peugeot,2022,8300,Petrol,Automatic,Islamabad,White,1200.0,Crossover,61.0,61.7626448751098,61.55830460658217,33.138660295050116
8373,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2022,Toyota,2022,6000,Petrol,Automatic,Punjab,White,1800.0,Sedan,61.0,58.1190975245745,58.15967743627789,57.30582927275125
8374,Honda Civic Oriel 2022,Honda,2022,2500,Petrol,Automatic,Islamabad,White,1500.0,Sedan,61.0,53.439376790238384,53.436032914733914,44.49188774050897
8375,Honda Civic Turbo 1.5 VTEC CVT 2020,Honda,2020,19400,Petrol,Automatic,Islamabad,Black,1500.0,Sedan,61.0,51.242002808527104,51.31294391988831,44.483037880130986
8376,Hyundai Elantra GLS 2022,Hyundai,2022,2200,Petrol,Automatic,Sindh,White,2000.0,Sedan,61.0,56.465340099260175,56.47214632869509,66.15346546506967
8377,KIA Sportage AWD 2019,KIA,2019,35000,Petrol,Automatic,Islamabad,Silver,2000.0,SUV,61.0,60.85945416662162,60.890840224142266,66.14112065983579
8378,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,Toyota,2022,6000,Petrol,Automatic,Karachi,White,1800.0,Sedan,61.0,57.25805598091938,57.325384171806945,57.30584212706931
8379,KIA Sportage Alpha 2022,KIA,2022,4800,Petrol,Automatic,Islamabad,White,2000.0,SUV,61.0,67.95327306713625,67.98343687021861,66.1539577492856
8380,KIA Sportage Alpha 2022,KIA,2022,3000,Petrol,Automatic,Islamabad,Grey,2000.0,SUV,61.0,67.89301884856741,67.9139686260869,66.15389744476005
8381,MG HS 1.5 Turbo 2021,MG,2021,27000,Petrol,Automatic,Islamabad,Black,1500.0,SUV,61.0,66.13666802947046,66.19984172898785,44.488211900800955
8382,KIA Sportage Alpha 2022,KIA,2022,1000,Petrol,Automatic,Sindh,Black,2000.0,SUV,61.0,68.50321391611214,68.55544620891033,66.15399254645088
8383,KIA Sportage Alpha 2021,KIA,2021,8000,Petrol,Automatic,Karachi,White,2000.0,SUV,61.0,64.28084895128814,64.29711107180628,66.14966986773806
8384,KIA Sportage AWD 2021,KIA,2021,18414,Petrol,Automatic,Un-Registered,Black,2000.0,SUV,61.0,69.96300631829763,70.08109847120068,66.15008550899556
8385,Honda Civic Oriel 1.8 i-VTEC CVT 2021,Honda,2021,50000,Petrol,Automatic,Islamabad,White,1800.0,Sedan,61.0,58.11010281204835,58.10839076523098,57.301309857640256
8386,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2021,Toyota,2021,17243,Petrol,Automatic,Islamabad,White,1800.0,Sedan,61.0,56.757764271313135,56.85970697522771,57.301465399621115
8387,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2022,Toyota,2022,560,Petrol,Automatic,Un-Registered,White,1800.0,Sedan,61.0,60.964871504185794,61.080457571056286,57.30612310273294
8388,MG HS 1.5 Turbo 2021,MG,2021,17000,Petrol,Automatic,Karachi,Black,1500.0,SUV,61.0,64.55060182634952,64.5895174280713,44.488199020488665
8389,KIA Sportage FWD 2020,KIA,2020,46500,Petrol,Automatic,Punjab,White,2000.0,SUV,61.0,63.055532582216074,63.055402838782356,66.14539027272491
8390,KIA Sportage FWD 2020,KIA,2020,60000,Petrol,Automatic,Lahore,White,2000.0,SUV,61.0,62.63219724270584,62.70065892364528,66.14531377573603
8391,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2022,Toyota,2022,3900,Petrol,Automatic,Punjab,Black,1800.0,Sedan,61.0,60.09443936831758,60.18859143642294,57.305974683698
8392,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2022,Toyota,2022,2100,Petrol,Automatic,Islamabad,White,1800.0,Sedan,61.0,58.844122184040316,58.93570847272349,57.305859318403485
